Qt,Qt-1,St-1,St
2.35,2.61,20,17
1.9,2.35,17,11
1.95,1.9,11,11
2.29,1.95,11,15
2.66,2.29,15,21
2.55,2.66,21,18
3.31,2.55,18,28
4.33,3.31,28,42
7.67,4.33,42,152
7.5,7.67,152,125
8.69,7.5,125,140
11.8,8.69,140,314
13.7,11.8,314,613
14.2,13.7,613,643
14.5,14.2,643,608
15.4,14.5,608,604
17,15.4,604,664
17.4,17,664,719
17.7,17.4,719,803
19.5,17.7,803,842
20.7,19.5,842,1050
21.7,20.7,1050,1170
21.9,21.7,1170,975
25.2,21.9,975,4130
28.3,25.2,4130,10600
26.1,28.3,10600,2540
26,26.1,2540,2180
26.6,26,2180,2820
26.6,26.6,2820,2330
27.6,26.6,2330,1720
24.9,27.6,1720,1140
21.7,24.9,1140,735
21,21.7,735,664
19.5,21,664,493
18,19.5,493,430
17,18,430,398
16.5,17,398,315
13.6,16.5,315,247
12.4,13.6,247,183
10.3,12.4,183,114
9.17,10.3,114,101
8.21,9.17,101,92
7.84,8.21,92,102
7.84,7.84,102,120
7.39,7.84,120,113
7.31,7.39,113,91
6.71,7.31,91,65
6.29,6.71,65,67
5.8,6.29,67,61
5.44,5.8,61,59
5.66,5.44,59,60
6.23,5.66,60,69
5.44,6.23,69,58
4.7,5.44,58,48
4.28,4.7,48,44
4.08,4.28,44,32
4.28,4.08,32,32
4.9,4.28,32,38
4.84,4.9,38,36
4.84,4.84,36,33
4.28,4.84,33,29
3.74,4.28,29,29
3.37,3.74,29,22
3.37,3.37,22,22
3.48,3.37,22,22
3.79,3.48,22,23
3.99,3.79,23,23
4.33,3.99,23,24
3.74,4.33,24,24
3.54,3.74,24,23
3.62,3.54,23,22
2.72,3.62,22,12
2.55,2.72,12,10
3,2.55,10,9.2
3.37,3,9.2,12
3.26,3.37,12,16
3.31,3.26,16,19
3.06,3.31,19,18
2.61,3.06,18,10
2.78,2.61,10,11
3.11,2.78,11,16
3.94,3.11,16,18
4.13,3.94,18,18
3.68,4.13,18,18
3.68,3.68,18,33
5.13,3.68,33,461
5.89,5.13,461,252
6.8,5.89,252,152
5.66,6.8,152,96
5.21,5.66,96,256
5.04,5.21,256,138
5.04,5.04,138,88
5.66,5.04,88,88
5.75,5.66,88,93
5.75,5.75,93,90
5.97,5.75,90,81
5.44,5.97,81,81
5.75,5.44,81,185
5.75,5.75,185,196
5.8,5.75,196,104
5.35,5.8,104,65
6.29,5.35,65,114
6.46,6.29,114,131
5.97,6.46,131,83
5.75,5.97,83,67
4.9,5.75,67,53
5.49,4.9,53,74
5.66,5.49,74,76
5.89,5.66,76,81
6.06,5.89,81,77
6.14,6.06,77,77
6.14,6.14,77,75
6.29,6.14,75,72
6.37,6.29,72,68
6.37,6.37,68,69
5.44,6.37,69,55
5.13,5.44,55,41
4.76,5.13,41,33
4.62,4.76,33,34
4.76,4.62,34,38
4.98,4.76,38,37
5.13,4.98,37,38
5.21,5.13,38,33
4.98,5.21,33,36
4.9,4.98,36,35
5.04,4.9,35,29
5.21,5.04,29,30
5.44,5.21,30,37
5.44,5.44,37,42
5.58,5.44,42,42
5.49,5.58,42,45
