D,L,N30_Ava,Cu_Ava,N30_Base,Cu_Base,UL,Q ,S_exp 
1,32,15.4375,56.265625,50,0,1,2196.29,1.29412
1.2,43.5,9.195402,51.270115,0,150,2,5013.4,14.1545
1,46.5,12.365591,7.419355,50,0,1,11250,18.1065
0.8,35,10.228571,8.071429,50,0,1,1795.87,0.495327
0.8,16.6,23.795181,19.879518,50,0,2,1502.65,20.5128
0.8,16.6,23.795181,19.879518,50,0,2,2994.71,26.2564
1,41,15.731707,50.243902,43,0,1,3182.93,2.58824
0.8,24,5.741935,23.870968,0,50,2,1687.5,3.33375
0.8,20,28.5,18.75,45,0,2,3002.35,11.05
1,38,26.631579,49.539474,50,0,2,3750,5.77778
1,35.5,13.321127,80.430986,50,0,1,4500,3.76682
1.08,25.5,27.176471,64.705882,50,0,1,0,0
1.2,43.5,3.241379,106.074713,50,0,2,1231.88,76.3713
1,15,14.986667,4.841667,40,0,1,4404.71,7.7788
1.08,16.6,34.036145,7.831325,50,0,2,6388.19,128.681
1,41,15.731707,50.243902,43,0,2,7441.46,12.7059
1,33,20.878788,31.606061,50,0,2,534.53,7.33005
0.8,28,40.607143,0,92,0,1,2118.87,1.19624
1,43,14.813953,37.093023,35,0,2,6250,77.4556
1,42,17.064286,54.380952,50,0,2,1649.27,2.23041
0.8,24,5.741935,23.870968,0,50,2,337.5,1.8575
1,15,14.986667,4.841667,40,0,1,2742.35,2.35945
1,49.5,15.879032,63.165323,0,200,1,11993.2,88.8608
1,43,14.813953,37.093023,35,0,1,3114.41,2.92899
1,35.5,13.321127,80.430986,50,0,1,5242.86,4.9148
